endTime,artistName,trackName,msPlayed
2024-01-19 14:54,Ellie Goulding,On My Mind,169180
2024-01-19 14:56,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-19 14:57,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-19 14:59,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-19 15:00,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-19 15:02,NF,GONE,105276
2024-01-19 15:03,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-19 15:04,NF,GONE,43567
2024-01-19 17:53,NF,GONE,1050
2024-01-19 17:59,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-19 18:00,The Kid LAROI,NIGHTS LIKE THIS,52256
2024-01-19 18:21,The Kid LAROI,NIGHTS LIKE THIS,165713
2024-01-19 19:16,NF,GONE,30796
2024-01-20 00:05,NF,GONE,1109
2024-01-20 00:26,The Kid LAROI,BLEED,65791
2024-01-20 02:27,alyx,Flawless 2,50560
2024-01-20 02:51,21 Savage,redrum,270697
2024-01-20 02:55,Zimmer90,What Love Is,220245
2024-01-20 02:58,Gorillaz,On Melancholy Hill,173763
2024-01-20 03:00,Baby Keem,scars,110976
2024-01-20 03:00,Goodboys,Bongo Cha Cha Cha,767
2024-01-20 03:00,JAY-Z,Empire State Of Mind,1216
2024-01-20 03:00,Lil Uzi Vert,Flooded The Face,1728
2024-01-20 03:03,James Bay,Hold Back The River,209971
2024-01-20 03:43,Kanye West,Hey Mama,77187
2024-01-20 03:47,Lil Uzi Vert,Silly Watch,195692
2024-01-20 03:50,Giveon,Heartbreak Anniversary,196794
2024-01-20 03:53,Mac Miller,The Spins,195873
2024-01-20 12:35,Oasis,Wonderwall,39342
2024-01-20 12:35,Jack Harlow,First Class,173947
2024-01-20 12:38,Lil Uzi Vert,Pluto to Mars,123344
2024-01-20 12:38,Diplo,Wish (feat. Trippie Redd) - Trippie Mix,2763
2024-01-20 12:38,Aaron Smith,Dancin - Krono Remix,5038
2024-01-20 12:39,Ana Tijoux,1977,1904
2024-01-20 12:39,Coldplay,Clocks,74187
2024-01-20 12:39,No Mercy,Where Do You Go,3204
2024-01-20 12:50,Ana Tijoux,1977,0
2024-01-20 12:50,No Mercy,Where Do You Go,271975
2024-01-20 12:52,Hilltop Hoods,Still Standing,106580
2024-01-20 12:53,Arizona Zervas,ROXANNE,940
2024-01-20 12:53,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),2520
2024-01-20 12:53,Young Thug,Power,56830
2024-01-20 12:53,Coldplay,The Scientist,1290
2024-01-20 12:53,Pharrell Williams,Cash In Cash Out,970
2024-01-20 12:58,Coldplay,The Scientist,900
2024-01-20 12:58,Pharrell Williams,Cash In Cash Out,257640
2024-01-20 13:01,BROCKHAMPTON,CASH,195200
2024-01-20 13:03,Metro Boomin,On Time (with John Legend),87800
2024-01-20 13:07,Skott,Porcelain,294813
2024-01-20 13:12,Lil Uzi Vert,Werewolf (feat. Bring Me The Horizon),239863
2024-01-20 13:15,A-Trak,Push (feat. Andrew Wyatt),213511
2024-01-20 13:15,Internet Money,His & Hers (feat. Don Toliver & Lil Uzi Vert),10741
2024-01-20 13:22,Sean Paul,No Lie,221176
